scenario,sf,workers,strategy,query_no,query_id,status,error_category,elapsed_ms,elapsed_sec,success,response_code,response_message,source_file,restart_from
SF10_N0,10,0,baseline,1,Q001,SUCCESS,NA,14165,14.165,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,2,Q002,SUCCESS,NA,6954,6.954,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,3,Q003,SUCCESS,NA,11010,11.01,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,4,Q004,SUCCESS,NA,12679,12.679,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,5,Q005,SUCCESS,NA,29054,29.054,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,6,Q006,SUCCESS,NA,114241,114.241,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,7,Q007,SUCCESS,NA,1416,1.416,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,8,Q008,SUCCESS,NA,36293,36.293,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,9,Q009,SUCCESS,NA,2814,2.814,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,10,Q010,SUCCESS,NA,1232,1.232,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,11,Q011,SUCCESS,NA,8140,8.14,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,12,Q012,SUCCESS,NA,5473,5.473,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,13,Q013,SUCCESS,NA,4608,4.608,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,14,Q014,SUCCESS,NA,1356,1.356,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,15,Q015,SUCCESS,NA,976,0.976,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,16,Q016,SUCCESS,NA,74557,74.557,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,17,Q017,SUCCESS,NA,20213,20.213,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,18,Q018,SUCCESS,NA,19686,19.686,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,19,Q019,SUCCESS,NA,10850,10.85,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,20,Q020,SUCCESS,NA,2440,2.44,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,21,Q021,SUCCESS,NA,13512,13.512,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,22,Q022,SUCCESS,NA,13058,13.058,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,23,Q023,SUCCESS,NA,83746,83.746,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,24,Q024,SUCCESS,NA,92771,92.771,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,25,Q025,SUCCESS,NA,33951,33.951,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,26,Q026,SUCCESS,NA,6453,6.453,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,27,Q027,SUCCESS,NA,5613,5.613,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,28,Q028,SUCCESS,NA,2517,2.517,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,29,Q029,SUCCESS,NA,6462,6.462,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,30,Q030,SUCCESS,NA,25758,25.758,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,31,Q031,SUCCESS,NA,22101,22.101,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,32,Q032,SUCCESS,NA,6982,6.982,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,33,Q033,SUCCESS,NA,64335,64.335,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,34,Q034,SUCCESS,NA,23185,23.185,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,35,Q035,SUCCESS,NA,8286,8.286,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,36,Q036,SUCCESS,NA,27746,27.746,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,37,Q037,SUCCESS,NA,14301,14.301,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,38,Q038,SUCCESS,NA,22293,22.293,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,39,Q039,SUCCESS,NA,19483,19.483,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,40,Q040,SUCCESS,NA,13954,13.954,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,41,Q041,SUCCESS,NA,6900,6.9,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,42,Q042,SUCCESS,NA,11448,11.448,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,43,Q043,SUCCESS,NA,11227,11.227,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,44,Q044,SUCCESS,NA,25720,25.72,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,45,Q045,SUCCESS,NA,32640,32.64,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,46,Q046,SUCCESS,NA,6101,6.101,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,47,Q047,SUCCESS,NA,24671,24.671,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,48,Q048,SUCCESS,NA,8454,8.454,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,49,Q049,SUCCESS,NA,8067,8.067,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,50,Q050,SUCCESS,NA,12717,12.717,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,51,Q051,SUCCESS,NA,12837,12.837,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,52,Q052,SUCCESS,NA,5593,5.593,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,53,Q053,SUCCESS,NA,3948,3.948,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,54,Q054,SUCCESS,NA,10423,10.423,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,55,Q055,SUCCESS,NA,26460,26.46,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,56,Q056,SUCCESS,NA,17516,17.516,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,57,Q057,SUCCESS,NA,6109,6.109,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,58,Q058,SUCCESS,NA,10566,10.566,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,59,Q059,SUCCESS,NA,8946,8.946,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,60,Q060,SUCCESS,NA,1174,1.174,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,61,Q061,SUCCESS,NA,105670,105.67,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,62,Q062,SUCCESS,NA,17122,17.122,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,63,Q063,SUCCESS,NA,7527,7.527,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,64,Q064,SUCCESS,NA,264851,264.851,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,65,Q065,SUCCESS,NA,9608,9.608,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,66,Q066,SUCCESS,NA,13022,13.022,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,67,Q067,SUCCESS,NA,14099,14.099,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,68,Q068,SUCCESS,NA,22954,22.954,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,69,Q069,SUCCESS,NA,471,0.471,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,70,Q070,SUCCESS,NA,8965,8.965,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,71,Q071,SUCCESS,NA,10012,10.012,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,72,Q072,SUCCESS,NA,7620,7.62,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,73,Q073,SUCCESS,NA,6326,6.326,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
SF10_N0,10,0,baseline,74,Q074,SUCCESS,NA,6469,6.469,TRUE,200,OK,rezultate_sf10_n0_baseline.csv,1
